Scale,Yield,Duration,Season,Distance
16.5,47.1,2,2,0
12.5,51.4,2,2,0
7,51.4,3,1,2
8.5,51.4,2,2,2
6.5,51.4,1,0,0
14,51.4,2,0,2
8.5,51.4,3,0,0
9,50,2,2,0
13,51.4,2,0,2
12,47.2,2,2,0
8,47.2,3,2,0
6.5,52.4,5,1,0
10,51.4,1,1,1
13,47.9,3,2,2
14,47.2,2,2,2
14,40.2,2,1,0
9,47.8,3,2,0
11,41.4,7,1,1
10,46,2,2,1
10.5,45,2,1,2
8,51.2,3,2,2
8,51.4,1,0,2
13,47.1,2,0,2
8,47.1,2,0,2
6.5,47.9,3,1,2
7,47.1,4,2,2
7,51.4,2,2,1
6,51.4,1,2,2
8,47.1,3,0,2
7,51.2,5,2,2
8,51.4,5,1,1
9,51.4,1,2,2
6,54.5,2,1,2
9,54.5,3,2,2
